iter	Passed	Remaining
0	57	5695
1	58	2865
2	59	1922
3	60	1446
4	61	1159
5	61	966
6	62	829
7	63	729
8	64	647
9	64	584
10	65	530
11	66	485
12	66	447
13	67	415
14	71	402
15	71	375
16	71	351
17	72	330
18	73	311
19	73	294
20	76	289
21	77	274
22	77	260
23	78	248
24	79	237
25	79	226
26	80	216
27	80	207
28	81	199
29	82	191
30	82	184
31	83	176
32	83	170
33	84	163
34	84	157
35	85	151
36	85	146
37	86	141
38	107	167
39	107	161
40	108	155
41	108	150
42	109	144
43	109	139
44	110	135
45	111	130
46	111	125
47	112	121
48	112	117
49	113	113
50	113	109
51	114	105
52	115	102
53	115	98
54	116	95
55	136	107
56	155	117
57	156	113
58	159	110
59	160	106
60	160	102
61	161	98
62	161	94
63	162	91
64	162	87
65	163	84
66	164	81
67	164	77
68	165	74
69	166	71
70	167	68
71	168	65
72	169	62
73	170	59
74	170	56
75	171	54
76	172	51
77	173	48
78	174	46
79	175	43
80	176	41
81	176	38
82	177	36
83	178	33
84	179	31
85	180	29
86	181	27
87	182	24
88	182	22
89	183	20
90	184	18
91	185	16
92	187	14
93	188	12
94	189	9
95	189	7
96	190	5
97	191	3
98	192	1
99	193	0
