product_id,warehouse,city,stock
F0013,WH2,Los Angeles,44
F0013,WH1,Houston,51
E0093,WH3,Los Angeles,68
E0093,WH1,Phoenix,91
E0093,WH2,Houston,62
E0029,WH4,Houston,7
E0029,WH3,Los Angeles,20
M0021,WH3,Los Angeles,77
M0021,WH2,Chicago,29
E0106,WH1,Phoenix,11
E0106,WH2,Houston,23
E0106,WH4,Houston,17
F0068,WH2,Chicago,65
F0068,WH4,Phoenix,53
F0102,WH3,Los Angeles,33
F0102,WH4,Houston,88
F0102,WH2,Houston,52
F0096,WH3,Los Angeles,60
F0096,WH2,Chicago,85
F0096,WH4,Houston,51
G0072,WH2,Los Angeles,46
G0072,WH1,Phoenix,48
G0072,WH3,Los Angeles,52
E0095,WH1,Phoenix,62
E0095,WH4,Phoenix,15
E0095,WH2,Houston,8
F0004,WH2,Houston,51
F0004,WH1,Houston,71
E0014,WH2,Houston,89
E0014,WH1,Phoenix,22
G0049,WH1,Phoenix,25
G0049,WH3,Los Angeles,10
G0049,WH4,Phoenix,2
G0007,WH4,Houston,7
G0007,WH2,Chicago,11
M0059,WH3,Los Angeles,42
M0059,WH1,Houston,65
M0059,WH4,Houston,48
M0081,WH1,Phoenix,47
M0081,WH4,Houston,50
F0075,WH4,Houston,41
F0075,WH1,Houston,55
F0122,WH3,Los Angeles,3
F0055,WH1,Houston,45
E0104,WH1,Houston,11
E0104,WH3,Los Angeles,73
E0104,WH4,Phoenix,23
G0102,WH1,Phoenix,7
G0060,WH4,Phoenix,15
G0060,WH1,Houston,37
G0060,WH3,Los Angeles,14
M0045,WH4,Houston,68
M0045,WH3,Los Angeles,90
F0079,WH3,Los Angeles,94
F0079,WH2,Chicago,36
F0079,WH4,Phoenix,6
G0004,WH2,Chicago,55
G0004,WH1,Houston,20
G0004,WH4,Houston,0
F0002,WH4,Phoenix,78
M0004,WH2,Chicago,5
M0004,WH1,Phoenix,53
M0004,WH4,Phoenix,39
E0034,WH4,Phoenix,4
F0054,WH3,Los Angeles,71
F0054,WH2,Chicago,69
F0006,WH2,Los Angeles,4
F0006,WH1,Houston,89
E0020,WH1,Phoenix,38
F0091,WH1,Phoenix,88
F0091,WH2,Los Angeles,94
F0091,WH4,Phoenix,97
G0008,WH1,Phoenix,23
F0087,WH4,Houston,29
F0009,WH1,Houston,97
G0103,WH1,Phoenix,78
F0052,WH4,Phoenix,53
F0052,WH1,Houston,22
F0052,WH3,Los Angeles,23
G0026,WH4,Phoenix,47
G0026,WH1,Houston,75
G0026,WH2,Chicago,28
G0019,WH3,Los Angeles,51
G0019,WH4,Phoenix,5
G0019,WH1,Houston,16
E0018,WH1,Houston,18
E0018,WH3,Los Angeles,69
E0055,WH3,Los Angeles,37
E0055,WH1,Phoenix,39
E0087,WH4,Phoenix,65
F0017,WH4,Houston,15
M0023,WH1,Houston,85
G0076,WH1,Phoenix,35
G0076,WH2,Los Angeles,3
G0076,WH4,Houston,68
M0112,WH1,Phoenix,11
M0062,WH2,Houston,13
M0062,WH4,Phoenix,18
M0062,WH3,Los Angeles,85
E0116,WH4,Phoenix,17
E0116,WH1,Phoenix,77
E0039,WH1,Phoenix,21
E0039,WH4,Phoenix,42
E0039,WH2,Houston,94
F0072,WH3,Los Angeles,6
G0047,WH3,Los Angeles,95
G0047,WH4,Houston,69
G0047,WH1,Houston,98
E0003,WH4,Phoenix,40
E0003,WH2,Houston,13
G0037,WH2,Chicago,72
G0037,WH1,Houston,47
G0037,WH4,Houston,36
G0017,WH2,Los Angeles,60
G0017,WH3,Los Angeles,12
G0017,WH4,Houston,63
M0035,WH4,Phoenix,24
E0005,WH3,Los Angeles,6
E0005,WH2,Chicago,45
E0005,WH4,Phoenix,4
F0005,WH3,Los Angeles,51
F0086,WH4,Houston,65
F0086,WH1,Phoenix,20
M0117,WH1,Phoenix,30
M0117,WH4,Phoenix,54
M0117,WH2,Chicago,65
G0028,WH1,Houston,86
G0028,WH2,Chicago,24
G0028,WH4,Phoenix,30
E0071,WH1,Phoenix,74
E0071,WH4,Houston,98
G0011,WH3,Los Angeles,61
M0027,WH4,Phoenix,29
