order_id,user_id,product_id,order_date,quantity
O0001,U0396,E0021,2023-01-29,3
O0002,U0296,M0090,2023-09-01,1
O0003,U0777,F0014,2023-10-05,2
O0004,U0592,G0122,2023-02-13,4
O0005,U0222,M0006,2023-02-24,3
O0006,U0577,E0079,2023-06-10,1
O0007,U0216,F0044,2023-06-08,4
O0008,U0702,G0097,2023-04-22,2
O0009,U0575,G0035,2023-02-21,2
O0010,U0311,E0011,2023-02-10,3
O0011,U0389,M0052,2023-07-06,2
O0012,U0372,M0061,2023-03-28,1
O0013,U0658,E0013,2023-08-13,2
O0014,U0167,M0100,2023-04-30,3
O0015,U0378,F0041,2023-11-23,4
O0016,U0465,F0028,2023-07-08,3
O0017,U0192,F0041,2023-04-06,4
O0018,U0206,E0070,2023-04-07,1
O0019,U0755,M0060,2023-05-05,4
O0020,U0986,F0021,2023-05-12,2
O0021,U0639,M0015,2023-05-01,1
O0022,U1000,M0012,2023-10-09,1
O0023,U0514,G0019,2023-02-23,4
O0024,U0994,G0066,2023-10-16,4
O0025,U0347,G0059,2023-06-22,3
O0026,U0845,M0101,2023-08-06,3
O0027,U0735,G0011,2023-10-14,4
O0028,U0709,E0014,2023-11-17,2
O0029,U0559,F0116,2023-04-25,2
O0030,U0066,M0120,2023-01-16,4
O0031,U0563,F0106,2023-08-14,1
O0032,U0271,F0038,2023-05-21,2
O0033,U0470,E0028,2023-05-07,1
O0034,U0541,F0059,2023-07-22,1
O0035,U0276,M0114,2023-03-26,3
O0036,U0256,E0062,2023-03-13,2
O0037,U0661,G0072,2023-10-08,1
O0038,U0658,M0056,2023-10-02,2
O0039,U0694,G0114,2023-08-21,2
O0040,U0217,F0075,2023-03-30,2
O0041,U0469,E0114,2023-03-25,3
O0042,U0055,F0024,2023-12-04,2
O0043,U0290,F0060,2023-09-21,1
O0044,U0489,G0022,2023-05-01,1
O0045,U0273,M0038,2023-01-04,2
O0046,U0654,G0043,2023-04-20,3
O0047,U0706,G0043,2023-03-12,1
O0048,U0702,F0040,2023-09-25,3
O0049,U0231,E0006,2023-02-01,1
O0050,U0109,M0020,2023-12-08,2
O0051,U0694,F0095,2023-07-03,2
O0052,U0358,E0095,2023-03-21,4
O0053,U0213,E0017,2023-03-09,3
O0054,U0420,M0037,2023-12-02,3
O0055,U0968,G0099,2023-10-02,1
O0056,U0863,M0076,2023-01-09,1
O0057,U0183,G0100,2023-10-28,4
O0058,U0140,M0047,2023-05-05,3
O0059,U0703,F0013,2023-07-23,2
O0060,U0338,F0027,2023-03-21,2
O0061,U0456,G0074,2023-11-17,3
O0062,U0969,G0006,2023-05-16,3
O0063,U0698,F0033,2023-07-02,4
O0064,U0903,M0089,2023-04-05,1
O0065,U0411,G0010,2023-08-19,4
O0066,U0323,G0026,2023-05-15,2
O0067,U0496,G0038,2023-11-15,4
O0068,U0231,G0091,2023-02-07,2
O0069,U0544,F0054,2023-05-24,4
O0070,U0435,G0029,2023-03-05,3
O0071,U0231,M0099,2023-11-24,4
O0072,U0179,G0090,2023-09-16,3
O0073,U0024,E0061,2023-08-02,2
O0074,U0971,F0082,2023-07-29,2
O0075,U0700,G0019,2023-12-13,4
O0076,U0795,F0075,2023-02-25,2
O0077,U0044,F0062,2023-05-22,3
O0078,U0696,F0112,2023-04-04,2
O0079,U0158,G0006,2023-02-23,2
O0080,U0311,M0113,2023-09-29,1
O0081,U0460,M0031,2023-08-17,1
O0082,U0395,F0035,2023-07-28,3
O0083,U0589,E0009,2023-02-18,1
O0084,U0172,G0043,2023-06-27,1
O0085,U0077,F0125,2023-06-20,1
O0086,U0719,M0106,2023-09-25,4
O0087,U0927,F0076,2023-04-05,1
O0088,U0029,E0068,2023-09-11,3
O0089,U0991,M0016,2023-03-10,1
O0090,U0734,F0006,2023-03-14,2
O0091,U0057,G0073,2023-07-27,1
O0092,U0555,G0016,2023-10-20,3
O0093,U0222,E0098,2023-10-15,1
O0094,U0032,M0003,2023-07-19,3
O0095,U0141,M0083,2023-06-03,2
O0096,U0275,M0043,2023-06-06,1
O0097,U0732,G0050,2023-05-11,3
O0098,U0982,F0060,2023-06-12,3
O0099,U0834,G0020,2023-12-15,2
O0100,U0241,G0074,2023-11-27,3
O0101,U0324,M0022,2023-10-23,1
O0102,U0954,M0107,2023-08-08,1
O0103,U0657,M0086,2023-09-16,4
O0104,U0092,F0067,2023-08-23,3
O0105,U0922,M0057,2023-07-27,4
O0106,U0316,G0015,2023-03-18,1
O0107,U0338,E0092,2023-03-19,3
O0108,U0520,E0040,2023-12-05,3
O0109,U0598,M0095,2023-07-30,3
O0110,U0148,G0072,2023-02-22,1
O0111,U0329,M0022,2023-10-29,2
