product_id,name,category,sub_category,brand,price,size,color,material,gender,release_year,screen_size,memory,processor,os,camera,battery,type,dosage,condition,requires_prescription,side_effects,expiry_date,unit,quantity,organic,expiry_days
F0013,Accessories Item 13,Fashion,Accessories,Zara,383.5569947165147,M,Purple,Leather,Women,,,,,,,,,,,,,,,,,
E0093,Sony Headphones,Electronics,,Sony,752.2234292224517,,,,,2019.0,,,,,,,,,,,,,,,,
E0029,Samsung Smartphone,Electronics,,Samsung,1827.9160570031654,,,,,2022.0,5.5,512.0,Snapdragon 888,iOS,108.0,3956.0,,,,,,,,,,
M0021,Medicine 21,Medicines,,,13.18103049810551,,,,,,,,,,,,Tablet,127 mg,Pain Relief,True,Drowsiness,2027-09-12,,,,
E0106,Samsung Tablet,Electronics,,Samsung,189.2857519059232,,,,,2021.0,43.0,512.0,M1,macOS,64.0,2572.0,,,,,,,,,,
F0068,Dresses Item 68,Fashion,Dresses,Gucci,108.34929302775818,XL,Blue,Leather,Women,,,,,,,,,,,,,,,,,
F0102,Shoes Item 102,Fashion,Shoes,Adidas,267.7138226817151,L,Purple,Cotton,Men,,,,,,,,,,,,,,,,,
F0096,Shirts Item 96,Fashion,Shirts,Adidas,299.5244710236061,XL,Yellow,Denim,Men,,,,,,,,,,,,,,,,,
G0072,Beverages Item 72,Groceries,Beverages,,30.04210726550101,,,,,,,,,,,,,,,,,,ml,6.0,True,265.0
E0095,Dell Camera,Electronics,,Dell,1246.1048179890581,,,,,2019.0,,,,,64.0,,,,,,,,,,,
F0004,Shoes Item 4,Fashion,Shoes,Nike,357.39249089065095,L,Green,Cotton,Women,,,,,,,,,,,,,,,,,
E0014,Microsoft Laptop,Electronics,,Microsoft,300.2700433167172,,,,,2020.0,10.9,128.0,Snapdragon 888,Android,,4298.0,,,,,,,,,,
G0049,Snacks Item 49,Groceries,Snacks,,12.032890186580662,,,,,,,,,,,,,,,,,,pack,100.0,True,268.0
