user_id,city,age,gender
U0001,Los Angeles,25,M
U0002,Phoenix,28,F
U0003,New York,19,F
U0004,Phoenix,29,F
U0004,Chicago,39,M
U0005,Los Angeles,59,F
U0005,Houston,45,F
U0006,New York,20,M
U0006,Los Angeles,68,M
U0007,Phoenix,42,F
U0008,Chicago,19,F
U0008,Houston,45,M
U0009,Los Angeles,31,M
U0009,Phoenix,53,F
U0010,New York,59,F
U0010,Chicago,46,M
U0011,New York,53,F
U0011,Chicago,48,F
U0012,Phoenix,38,F
U0013,Houston,43,M
U0014,Los Angeles,46,M
U0014,Chicago,62,M
U0015,Chicago,25,F
U0016,Houston,52,M
U0017,Phoenix,58,F
U0018,Chicago,65,M
U0019,Houston,52,M
U0020,Houston,18,M
U0021,Los Angeles,43,F
U0021,Houston,30,M
U0022,Chicago,21,F
U0023,Los Angeles,53,M
U0024,New York,19,F
U0024,Houston,62,F
U0025,New York,28,F
U0026,Phoenix,50,M
U0026,Los Angeles,44,F
U0027,Los Angeles,56,F
U0028,Phoenix,50,M
U0028,Houston,59,F
U0029,Phoenix,66,F
U0029,Houston,66,F
U0030,New York,20,M
U0030,Phoenix,54,M
U0031,Houston,19,F
U0031,Los Angeles,40,M
U0032,Houston,19,M
U0032,Los Angeles,61,F
U0033,New York,34,M
U0033,Los Angeles,55,F
U0034,New York,28,M
U0035,Houston,33,M
U0035,Los Angeles,20,F
U0036,New York,20,M
U0036,Los Angeles,36,F
U0037,Chicago,56,F
U0037,Los Angeles,57,M
U0038,Chicago,40,M
U0039,New York,33,F
U0039,Phoenix,65,M
U0040,Chicago,65,F
U0040,Phoenix,29,M
U0041,Los Angeles,52,M
U0042,New York,50,F
U0042,Phoenix,69,M
U0043,Chicago,65,F
U0044,Phoenix,63,F
U0045,Los Angeles,53,M
U0045,Phoenix,21,M
U0046,Los Angeles,34,F
U0046,New York,50,F
U0047,Houston,39,F
U0047,New York,47,F
U0048,New York,44,M
U0048,Houston,51,M
U0049,Phoenix,50,M
U0049,Los Angeles,65,M
U0050,Phoenix,34,F
U0050,Los Angeles,45,F
U0051,New York,58,M
U0052,Chicago,48,M
U0052,Houston,50,F
U0053,Los Angeles,20,F
U0054,Phoenix,20,F
U0054,Houston,63,F
U0055,New York,19,F
U0055,Phoenix,34,F
U0056,Phoenix,56,M
U0057,Houston,41,M
U0057,New York,24,M
U0058,Chicago,63,F
U0058,Los Angeles,31,F
U0059,New York,40,M
U0060,Phoenix,39,F
U0060,Houston,39,M
U0061,New York,60,F
U0061,Houston,54,M
U0062,Los Angeles,21,F
U0062,Chicago,62,F
U0063,Houston,59,F
U0063,Los Angeles,36,M
U0064,Phoenix,43,M
U0064,New York,43,M
U0065,Los Angeles,18,M
U0065,Chicago,51,F
U0066,Los Angeles,18,F
U0066,Chicago,56,F
U0067,Houston,20,F
U0068,Phoenix,46,F
U0068,Houston,45,M
U0069,Phoenix,69,M
U0070,Houston,53,M
U0070,Chicago,47,M
U0071,Chicago,53,F
U0072,New York,49,M
U0072,Houston,22,M
U0073,Houston,41,F
U0073,Phoenix,67,M
U0074,Los Angeles,60,M
U0074,Chicago,29,M
U0075,Chicago,61,M
U0076,New York,68,F
U0077,Chicago,27,F
U0078,Phoenix,21,F
U0078,Houston,67,M
U0079,Los Angeles,53,F
U0080,Los Angeles,52,F
U0081,Houston,41,M
U0081,Phoenix,49,M
U0082,Los Angeles,42,M
U0082,Houston,58,F
U0083,Chicago,30,M
U0084,Los Angeles,36,F
U0085,New York,69,M
U0086,Houston,42,F
U0086,Los Angeles,38,F
U0087,Los Angeles,59,F
U0088,Phoenix,46,M
U0089,Houston,61,M
U0090,Chicago,67,M
U0091,Phoenix,55,M
U0091,Chicago,25,F
U0092,Houston,24,M
U0093,New York,48,M
U0094,Phoenix,27,F
U0095,Phoenix,45,F
U0096,Los Angeles,58,M
U0096,Chicago,18,M
U0097,Phoenix,66,M
U0098,Chicago,61,M
U0098,Houston,49,M
U0099,Chicago,28,F
U0100,New York,35,M
U0101,Houston,18,M
U0102,Los Angeles,28,F
U0102,New York,27,F
U0103,Chicago,45,F
U0103,Los Angeles,43,F
U0104,Phoenix,53,F
U0104,Chicago,44,F
U0105,Los Angeles,37,M
U0106,Chicago,23,F
U0106,Houston,68,F
U0107,Phoenix,47,F
U0108,Houston,50,F
U0109,Phoenix,28,M
U0110,Houston,66,M
U0110,Phoenix,50,F
U0111,Los Angeles,65,M
U0112,Los Angeles,22,F
U0112,Chicago,20,M
U0113,Chicago,27,M
U0114,Chicago,18,M
U0115,Chicago,66,F
U0116,New York,56,F
U0116,Phoenix,51,F
U0117,New York,18,F
U0117,Houston,61,M
U0118,Phoenix,64,M
U0118,Los Angeles,32,M
U0119,Phoenix,55,F
U0120,New York,35,F
U0120,Chicago,32,M
U0121,Chicago,50,F
U0122,New York,68,M
U0123,New York,34,F
U0124,Chicago,23,M
U0125,Houston,65,M
U0125,New York,68,M
U0126,Houston,49,M
U0127,Chicago,68,M
U0128,Chicago,39,M
U0129,Chicago,43,F
U0129,Los Angeles,51,M
U0130,Phoenix,43,M
U0130,Houston,64,M
U0131,Los Angeles,43,F
U0131,Houston,18,F
U0132,Los Angeles,39,F
U0133,New York,19,M
U0133,Phoenix,43,F
U0134,Los Angeles,40,F
U0135,Phoenix,55,M
U0136,Houston,27,M
U0137,Phoenix,61,M
U0138,Chicago,27,M
U0139,New York,64,F
U0140,Phoenix,58,M
U0140,Los Angeles,23,F
U0141,Phoenix,23,M
U0141,New York,50,M
U0142,Chicago,65,F
U0142,New York,47,M
U0143,Los Angeles,48,F
U0143,Phoenix,54,F
U0144,New York,32,F
U0144,Phoenix,66,F
U0145,Phoenix,32,M
U0145,Houston,25,F
U0146,Chicago,43,F
U0147,Phoenix,66,F
U0147,Los Angeles,64,M
U0148,Houston,53,M
U0148,New York,60,M
U0149,Chicago,40,F
U0150,Houston,18,M
U0150,Chicago,54,M
U0151,Phoenix,55,M
U0152,Houston,61,F
U0153,Los Angeles,51,F
U0153,New York,52,M
U0154,Chicago,28,M
U0155,Phoenix,54,M
U0156,New York,21,M
U0157,Houston,25,M
U0158,Phoenix,40,M
U0158,Houston,32,M
U0159,Los Angeles,19,F
U0160,New York,23,M
U0161,New York,69,M
U0162,Chicago,44,F
U0163,Los Angeles,44,M
U0164,New York,22,M
U0165,Chicago,48,M
U0165,Phoenix,53,M
U0166,Los Angeles,25,M
U0166,New York,46,M
U0167,Chicago,48,M
U0167,Phoenix,68,F
U0168,Phoenix,37,M
U0168,New York,27,F
U0169,New York,43,M
U0169,Houston,57,F
U0170,Houston,60,F
U0170,Los Angeles,61,F
U0171,Chicago,59,M
U0171,Los Angeles,45,M
U0172,Houston,31,F
U0172,Phoenix,58,F
U0173,Houston,43,F
U0174,Houston,68,F
U0174,Los Angeles,32,M
U0175,Chicago,69,M
U0176,Phoenix,69,M
U0177,Phoenix,35,M
U0177,New York,51,M
U0178,Los Angeles,41,M
U0179,Chicago,50,M
U0180,New York,67,M
U0181,Los Angeles,37,F
U0182,Phoenix,66,M
U0182,Los Angeles,18,F
U0183,New York,49,F
U0184,Chicago,33,F
U0185,Chicago,64,F
U0186,Phoenix,55,M
U0186,Chicago,21,M
U0187,Los Angeles,49,F
U0187,New York,27,M
U0188,Phoenix,45,F
U0188,Chicago,67,M
U0189,Los Angeles,41,M
U0190,Chicago,64,M
U0191,Houston,51,M
U0192,Phoenix,38,F
U0192,Los Angeles,48,M
U0193,Houston,50,M
U0193,New York,38,M
U0194,Houston,35,F
U0194,Los Angeles,18,M
U0195,Phoenix,19,M
U0196,Los Angeles,55,F
U0197,Chicago,52,F
U0197,Houston,39,F
U0198,Phoenix,63,M
U0198,Chicago,49,M
U0199,Phoenix,57,F
U0199,Houston,62,M
U0200,Chicago,63,F
U0201,Chicago,40,M
U0201,Phoenix,28,F
U0202,Chicago,51,M
U0202,Houston,54,M
U0203,Phoenix,59,F
U0203,New York,38,M
U0204,New York,62,M
U0205,Chicago,38,F
U0206,New York,60,M
U0206,Chicago,68,M
U0207,Houston,28,F
U0207,Phoenix,28,F
U0208,Phoenix,52,F
U0208,Los Angeles,51,M
U0209,Chicago,53,M
U0210,Los Angeles,62,M
U0210,New York,51,M
U0211,Phoenix,57,M
U0211,Chicago,18,M
U0212,Phoenix,56,M
U0213,Houston,55,F
U0214,Los Angeles,66,M
U0214,Houston,34,F
U0215,Phoenix,41,M
U0216,Los Angeles,33,F
U0216,Houston,25,M
U0217,Los Angeles,43,M
U0217,Phoenix,62,F
U0218,Phoenix,40,F
U0219,Houston,24,M
U0220,Phoenix,35,M
U0221,New York,59,M
U0221,Los Angeles,34,F
U0222,Phoenix,20,M
U0223,New York,56,M
U0224,Chicago,42,M
U0224,Los Angeles,35,M
U0225,New York,52,F
U0225,Chicago,51,F
U0226,Houston,49,M
U0227,Chicago,46,F
U0228,Los Angeles,27,F
U0229,Chicago,66,M
U0230,New York,54,M
U0231,Chicago,26,M
U0231,Houston,66,M
U0232,New York,54,M
U0232,Los Angeles,54,M
U0233,Phoenix,42,M
U0233,Houston,69,F
U0234,Phoenix,68,M
U0235,Houston,43,M
U0235,New York,66,F
U0236,Chicago,40,M
U0237,Phoenix,59,M
U0238,Chicago,20,F
U0238,Houston,52,F
U0239,Los Angeles,21,F
U0240,Houston,20,M
U0241,Los Angeles,51,F
U0241,Houston,59,M
U0242,Los Angeles,51,F
U0243,Houston,23,M
U0243,Phoenix,65,M
U0244,Chicago,57,M
U0244,Los Angeles,49,F
U0245,New York,57,F
U0246,Los Angeles,23,F
U0246,Phoenix,36,F
U0247,Los Angeles,65,M
U0247,Phoenix,30,M
U0248,Houston,44,F
U0249,Houston,68,M
U0249,Los Angeles,40,F
U0250,Phoenix,48,F
U0250,Houston,53,F
U0251,Houston,49,M
U0251,Los Angeles,63,M
U0252,Houston,41,M
U0253,New York,58,F
U0254,New York,54,M
U0254,Los Angeles,39,F
U0255,New York,34,F
U0255,Phoenix,39,M
U0256,Phoenix,35,F
U0256,Chicago,31,F
U0257,Los Angeles,69,M
U0258,Houston,64,M
U0258,Los Angeles,49,M
U0259,New York,63,F
U0260,Los Angeles,58,M
U0261,Houston,49,F
U0262,Phoenix,20,M
U0263,Los Angeles,64,F
U0263,Chicago,54,M
U0264,Los Angeles,18,F
U0264,Phoenix,55,M
U0265,Los Angeles,41,F
U0265,Houston,35,M
U0266,Phoenix,34,M
U0266,New York,25,M
U0267,Phoenix,46,F
U0268,Chicago,37,F
U0268,New York,32,M
U0269,Chicago,65,M
U0269,Houston,39,F
U0270,New York,30,M
U0271,New York,35,F
U0271,Chicago,64,M
U0272,Los Angeles,55,M
U0272,Phoenix,25,M
U0273,Los Angeles,29,M
U0273,Phoenix,63,F
U0274,Chicago,57,F
U0275,Chicago,50,M
U0275,Phoenix,30,F
U0276,New York,56,F
U0277,New York,32,F
U0277,Chicago,59,M
U0278,Los Angeles,20,M
U0278,Phoenix,23,M
U0279,Phoenix,58,F
U0279,Los Angeles,29,F
U0280,New York,64,M
U0280,Chicago,24,M
U0281,New York,43,M
U0281,Chicago,20,M
U0282,Chicago,35,F
U0283,Los Angeles,68,F
U0283,Chicago,36,M
U0284,Los Angeles,49,M
U0284,Chicago,61,F
U0285,Houston,49,F
U0285,New York,58,M
U0286,Phoenix,46,F
U0287,Houston,38,M
U0288,Chicago,45,F
U0288,Los Angeles,37,F
U0289,Houston,58,F
U0289,Phoenix,51,F
U0290,New York,23,M
U0290,Houston,59,M
U0291,Chicago,20,M
U0292,Los Angeles,43,F
U0292,Houston,53,F
U0293,New York,19,M
U0293,Chicago,54,M
U0294,Houston,64,F
U0294,Chicago,56,M
U0295,Houston,42,M
U0295,New York,45,F
U0296,Los Angeles,57,F
U0297,Los Angeles,48,M
U0297,Phoenix,27,M
U0298,Houston,47,M
U0298,Chicago,18,M
U0299,Los Angeles,37,F
U0299,Phoenix,60,M
U0300,Los Angeles,66,F
U0301,New York,61,M
U0301,Los Angeles,37,F
U0302,Phoenix,37,F
U0302,Houston,46,M
U0303,Houston,22,M
U0304,New York,67,F
U0305,Phoenix,67,M
U0306,New York,55,F
U0307,New York,25,F
U0308,Houston,55,M
U0309,Phoenix,43,M
U0310,Chicago,25,M
U0310,Houston,57,M
U0311,Phoenix,21,M
U0311,Los Angeles,18,M
U0312,Los Angeles,43,F
U0313,Chicago,26,M
U0313,New York,58,M
U0314,Los Angeles,48,M
U0314,Chicago,28,F
U0315,New York,55,M
U0315,Chicago,23,F
U0316,Los Angeles,62,M
U0316,Houston,18,F
U0317,Los Angeles,29,F
U0317,Houston,24,M
U0318,Los Angeles,50,M
U0319,Phoenix,28,M
U0319,Houston,25,F
U0320,Chicago,20,M
U0320,New York,43,F
U0321,Houston,43,M
U0321,Chicago,29,M
U0322,Los Angeles,65,M
U0322,New York,23,F
U0323,Los Angeles,38,M
U0323,New York,60,M
U0324,Los Angeles,53,M
U0324,New York,68,M
U0325,Chicago,51,F
U0325,Houston,21,F
U0326,Phoenix,64,F
U0327,New York,19,M
U0328,Chicago,28,M
U0329,Phoenix,48,M
U0330,Chicago,53,F
U0331,Chicago,64,M
U0331,Los Angeles,30,M
U0332,Chicago,26,M
U0332,Houston,27,F
U0333,Houston,41,F
U0333,Chicago,66,F
U0334,New York,36,F
U0335,Chicago,53,F
U0335,Houston,50,M
U0336,Los Angeles,61,F
U0336,Houston,50,M
U0337,Houston,52,F
U0338,Phoenix,30,M
U0339,Houston,38,F
U0340,Houston,58,M
U0341,New York,43,F
U0342,Houston,53,M
U0342,Chicago,26,F
U0343,Houston,21,M
U0344,Chicago,44,F
U0345,New York,20,F
U0346,New York,34,M
U0346,Houston,51,M
U0347,New York,53,M
U0347,Chicago,30,M
U0348,Phoenix,47,M
U0349,Phoenix,47,M
U0350,Phoenix,37,F
U0351,Chicago,38,F
U0351,Los Angeles,23,F
U0352,Houston,51,M
U0352,Chicago,31,F
U0353,Chicago,38,F
U0354,Los Angeles,20,F
U0355,Chicago,23,M
U0355,New York,39,M
U0356,Phoenix,64,M
U0357,Houston,41,F
U0357,Phoenix,47,F
U0358,New York,31,M
U0358,Los Angeles,32,M
U0359,Houston,35,F
U0360,Chicago,19,M
U0360,New York,50,F
U0361,Phoenix,69,M
U0362,Houston,51,F
U0363,Phoenix,21,M
U0364,Los Angeles,31,F
U0364,Chicago,35,M
U0365,New York,40,M
U0365,Houston,48,M
U0366,Phoenix,19,F
U0367,Houston,32,M
U0368,Los Angeles,26,F
U0369,Houston,21,M
U0369,Los Angeles,57,M
U0370,Chicago,53,F
U0371,Houston,52,M
U0371,Phoenix,44,F
U0372,Chicago,19,F
U0372,Houston,44,M
U0373,New York,56,M
U0373,Houston,18,M
U0374,Houston,35,M
U0375,Los Angeles,28,M
U0376,Los Angeles,43,F
U0377,New York,52,M
U0377,Chicago,46,F
U0378,Chicago,66,M
U0379,Los Angeles,18,F
U0379,Chicago,65,M
U0380,New York,57,M
U0381,New York,39,F
U0381,Houston,66,M
U0382,Los Angeles,22,F
U0383,Houston,30,F
U0383,Los Angeles,40,M
U0384,New York,34,M
U0385,Chicago,63,F
U0385,New York,28,F
U0386,New York,68,M
U0387,Houston,49,F
U0387,Chicago,27,F
U0388,Phoenix,57,M
U0389,Houston,66,F
U0390,Phoenix,42,F
U0390,Chicago,67,F
U0391,New York,19,F
U0392,New York,49,F
U0393,Houston,34,F
U0393,New York,35,M
U0394,Phoenix,42,F
U0395,Chicago,49,M
U0395,Phoenix,63,M
U0396,New York,47,M
U0396,Houston,56,M
U0397,Houston,30,F
U0397,Phoenix,38,F
U0398,New York,39,F
U0398,Los Angeles,60,M
U0399,Chicago,19,M
U0399,Los Angeles,38,M
U0400,Houston,68,M
U0400,New York,41,F
U0401,Los Angeles,20,M
U0402,Houston,56,F
U0402,Los Angeles,64,M
U0403,New York,33,F
U0403,Houston,18,F
U0404,Houston,59,F
U0405,Chicago,63,M
U0406,Phoenix,30,M
U0407,New York,29,M
U0407,Chicago,31,F
U0408,Chicago,28,F
U0409,Houston,64,M
U0410,Chicago,43,M
U0410,New York,55,M
U0411,New York,21,F
U0411,Chicago,62,F
U0412,Chicago,41,M
U0413,New York,51,F
U0413,Houston,35,M
U0414,Los Angeles,63,M
U0415,New York,55,M
U0415,Chicago,48,F
U0416,Phoenix,47,M
U0416,Los Angeles,66,M
U0417,Phoenix,45,M
U0418,Phoenix,50,M
U0419,Los Angeles,32,F
U0419,New York,64,F
U0420,Houston,33,M
U0420,Los Angeles,69,M
U0421,Phoenix,66,F
U0421,Houston,62,F
U0422,Los Angeles,36,F
U0423,Phoenix,54,F
U0424,Chicago,23,F
U0425,Houston,53,F
U0425,Phoenix,58,F
U0426,Los Angeles,37,F
U0426,Chicago,42,F
U0427,New York,45,M
U0428,New York,33,F
U0429,Chicago,61,M
U0430,New York,35,F
U0431,Chicago,44,M
U0432,New York,41,M
U0432,Phoenix,65,M
U0433,Chicago,54,F
U0434,Phoenix,43,M
U0435,Los Angeles,38,F
U0435,Phoenix,29,M
U0436,Chicago,21,M
U0437,Houston,50,M
U0437,Phoenix,41,M
U0438,Chicago,58,M
U0439,Houston,63,F
U0439,Chicago,51,M
U0440,Houston,65,M
U0440,Chicago,19,F
U0441,Houston,29,F
U0441,Los Angeles,64,F
U0442,Phoenix,68,M
U0442,New York,66,F
U0443,Chicago,21,F
U0443,New York,69,F
U0444,New York,45,F
U0445,Houston,43,M
U0446,Chicago,25,F
U0447,New York,56,F
U0448,Houston,36,M
U0449,New York,41,F
U0450,Los Angeles,25,M
U0450,Chicago,26,M
U0451,New York,19,M
U0452,Los Angeles,67,M
U0452,Houston,57,F
U0453,Phoenix,25,M
U0454,Los Angeles,21,F
U0454,New York,23,F
U0455,Phoenix,28,F
U0455,Los Angeles,33,M
U0456,Los Angeles,47,M
U0457,New York,48,M
U0457,Chicago,44,M
U0458,Phoenix,51,F
U0459,Houston,46,M
U0459,Los Angeles,69,F
U0460,Los Angeles,19,M
U0460,Phoenix,61,F
U0461,New York,20,F
U0462,Chicago,43,F
U0462,Phoenix,50,M
U0463,Phoenix,64,F
U0464,Houston,39,M
U0464,Los Angeles,22,F
U0465,Houston,33,F
U0466,Los Angeles,23,M
U0466,New York,37,F
U0467,Phoenix,64,F
U0468,Los Angeles,63,F
U0469,Los Angeles,26,M
U0469,Chicago,30,M
U0470,Phoenix,44,M
U0470,Houston,44,F
U0471,Chicago,36,F
U0471,Phoenix,31,M
U0472,Houston,55,M
U0472,Chicago,39,F
U0473,Houston,59,M
U0474,Los Angeles,31,M
U0475,Los Angeles,36,M
U0476,Chicago,26,F
U0476,Los Angeles,50,F
U0477,Houston,52,M
U0477,Phoenix,31,F
U0478,Phoenix,63,F
U0479,Chicago,47,F
U0480,New York,38,M
U0481,Los Angeles,61,M
U0482,Los Angeles,21,M
U0483,Chicago,62,M
U0484,Chicago,32,M
U0485,Chicago,57,M
U0486,Los Angeles,21,M
U0487,New York,62,M
U0488,Chicago,58,M
U0488,New York,25,M
U0489,Houston,29,F
U0489,Chicago,43,M
U0490,Phoenix,46,M
U0490,New York,66,M
U0491,Phoenix,66,M
U0491,Los Angeles,55,M
U0492,Phoenix,50,F
U0492,Houston,56,M
U0493,Phoenix,60,F
U0494,Los Angeles,58,M
U0494,Chicago,41,M
U0495,Los Angeles,56,M
U0496,Houston,30,M
U0496,New York,63,M
U0497,Los Angeles,62,F
U0498,Chicago,45,F
U0499,Houston,47,M
U0500,Phoenix,19,F
U0501,Houston,36,M
U0501,Phoenix,45,F
U0502,Chicago,32,M
